Date,From,To,Flight_Number,Airline,Distance,Duration,Seat,Seat_Type,Class,Reason,Plane,Registration,Trip,Note,From_OID,To_OID,Airline_OID,Plane_OID
- -,MAD,LHR,Iberia Airlines (IB),Iberia Airlines,773,2:02,,,,,321 320 345 333 342,,,,,,,
,,,Direct,1229,507,2822,,,,,,,,,,,,
- -,MAD,LIM,Iberia Airlines (IB),Iberia Airlines,5915,12:19,,,,,345 346 342,,,,,,,
,,,Direct,1229,2789,2822,,,,,,,,,,,,
- -,MAD,LIM,LAN Airlines (LA),LAN Airlines,5915,12:19,,,,,763 346 343,,,,,,,
,,,Codeshare,1229,2789,3200,,,,,,,,,,,,
- -,MAD,LIM,Air Europa (UX),Air Europa,5915,12:19,,,,,332,,,,,,,
,,,Direct,1229,2789,90,,,,,,,,,,,,
- -,MAD,LIN,Iberia Airlines (IB),Iberia Airlines,732,1:57,,,,,321 320,,,,,,,
,,,Direct,1229,1529,2822,,,,,,,,,,,,
- -,MAD,LIS,Iberia Airlines (IB),Iberia Airlines,318,1:08,,,,,321 320 319,,,,,,,
,,,Direct,1229,1638,2822,,,,,,,,,,,,
- -,MAD,LIS,SATA International (S4),SATA International,318,1:08,,,,,319 ER4 100,,,,,,,
,,,Codeshare,1229,1638,4304,,,,,,,,,,,,
- -,MAD,LIS,TAP Portugal (TP),TAP Portugal,318,1:08,,,,,100 ER4 319 320,,,,,,,
,,,Direct,1229,1638,4869,,,,,,,,,,,,
- -,MAD,LIS,easyJet (U2),easyJet,318,1:08,,,,,319,,,,,,,
,,,Direct,1229,1638,2297,,,,,,,,,,,,
- -,MAD,LIS,US Airways (US),US Airways,318,1:08,,,,,ER4 319 320 100,,,,,,,
,,,Codeshare,1229,1638,5265,,,,,,,,,,,,
- -,MAD,LIS,Air Europa (UX),Air Europa,318,1:08,,,,,ER4,,,,,,,
,,,Direct,1229,1638,90,,,,,,,,,,,,
- -,MAD,LOS,Iberia Airlines (IB),Iberia Airlines,2378,5:15,,,,,319,,,,,,,
,,,Direct,1229,273,2822,,,,,,,,,,,,
- -,MAD,LPA,Alitalia (AZ),Alitalia,1095,2:41,,,,,738 332,,,,,,,
,,,Codeshare,1229,1054,596,,,,,,,,,,,,
- -,MAD,LPA,Ryanair (FR),Ryanair,1095,2:41,,,,,738,,,,,,,
,,,Direct,1229,1054,4296,,,,,,,,,,,,
- -,MAD,LPA,Iberia Airlines (IB),Iberia Airlines,1095,2:41,,,,,321 319,,,,,,,
,,,Direct,1229,1054,2822,,,,,,,,,,,,
- -,MAD,LPA,Czech Airlines (OK),Czech Airlines,1095,2:41,,,,,738,,,,,,,
,,,Direct,1229,1054,1946,,,,,,,,,,,,
- -,MAD,LPA,Air Europa (UX),Air Europa,1095,2:41,,,,,332 738 333,,,,,,,
,,,Direct,1229,1054,90,,,,,,,,,,,,
- -,MAD,LPL,easyJet (U2),easyJet,888,2:16,,,,,320 319,,,,,,,
,,,Direct,1229,491,2297,,,,,,,,,,,,
- -,MAD,LRM,Air Europa (UX),Air Europa,4113,8:43,,,,,333,,,,,,,
,,,Direct,1229,1759,90,,,,,,,,,,,,
- -,MAD,LTN,easyJet (U2),easyJet,801,2:06,,,,,319 320,,,,,,,
,,,Direct,1229,492,2297,,,,,,,,,,,,
- -,MAD,LUX,Luxair (LG),Luxair,790,2:04,,,,,ER4,,,,,,,
,,,Direct,1229,629,3329,,,,,,,,,,,,
- -,MAD,LYS,Iberia Airlines (IB),Iberia Airlines,566,1:37,,,,,CRK,,,,,,,
,,,Codeshare,1229,1335,2822,,,,,,,,,,,,
- -,MAD,LYS,easyJet (U2),easyJet,566,1:37,,,,,319,,,,,,,
,,,Direct,1229,1335,2297,,,,,,,,,,,,
- -,MAD,MAH,Iberia Airlines (IB),Iberia Airlines,412,1:19,,,,,CRK,,,,,,,
,,,Codeshare,1229,1231,2822,,,,,,,,,,,,
- -,MAD,MAN,Ryanair (FR),Ryanair,891,2:16,,,,,738,,,,,,,
,,,Direct,1229,478,4296,,,,,,,,,,,,
- -,MAD,MDE,Avianca - Aerovias Nacionales de Colombia (AV),Avianca - Aerovias Nacionales de Colombia,4987,10:28,,,,,330,,,,,,,
,,,Direct,1229,2745,515,,,,,,,,,,,,
- -,MAD,MEX,AeroMéxico (AM),AeroMéxico,5630,11:45,,,,,777 787 762,,,,,,,
,,,Direct,1229,1824,321,,,,,,,,,,,,
- -,MAD,MEX,Alitalia (AZ),Alitalia,5630,11:45,,,,,777,,,,,,,
,,,Codeshare,1229,1824,596,,,,,,,,,,,,
- -,MAD,MEX,Iberia Airlines (IB),Iberia Airlines,5630,11:45,,,,,345 346,,,,,,,
,,,Direct,1229,1824,2822,,,,,,,,,,,,
- -,MAD,MEX,Air Europa (UX),Air Europa,5630,11:45,,,,,777,,,,,,,
,,,Direct,1229,1824,90,,,,,,,,,,,,
- -,MAD,MIA,American Airlines (AA),American Airlines,4413,9:19,,,,,763 330 340,,,,,,,
,,,Direct,1229,3576,24,,,,,,,,,,,,
- -,MAD,MIA,Finnair (AY),Finnair,4413,9:19,,,,,763 333 346,,,,,,,
,,,Direct,1229,3576,2350,,,,,,,,,,,,
- -,MAD,MIA,British Airways (BA),British Airways,4413,9:19,,,,,763 333 346,,,,,,,
,,,Codeshare,1229,3576,1355,,,,,,,,,,,,
- -,MAD,MIA,Iberia Airlines (IB),Iberia Airlines,4413,9:19,,,,,333 346,,,,,,,
,,,Direct,1229,3576,2822,,,,,,,,,,,,
- -,MAD,MIA,US Airways (US),US Airways,4413,9:19,,,,,763,,,,,,,
,,,Direct,1229,3576,5265,,,,,,,,,,,,
- -,MAD,MJV,Iberia Airlines (IB),Iberia Airlines,237,0:58,,,,,CR2,,,,,,,
,,,Codeshare,1229,1227,2822,,,,,,,,,,,,
- -,MAD,MLA,Ryanair (FR),Ryanair,1027,2:33,,,,,738,,,,,,,
,,,Direct,1229,1606,4296,,,,,,,,,,,,
- -,MAD,MLN,Iberia Airlines (IB),Iberia Airlines,360,1:13,,,,,AT7,,,,,,,
,,,Codeshare,1229,1058,2822,,,,,,,,,,,,
- -,MAD,MRS,Ryanair (FR),Ryanair,495,1:29,,,,,738,,,,,,,
,,,Direct,1229,1353,4296,,,,,,,,,,,,
- -,MAD,MRS,Iberia Airlines (IB),Iberia Airlines,495,1:29,,,,,CRK,,,,,,,
,,,Codeshare,1229,1353,2822,,,,,,,,,,,,
- -,MAD,MUC,Air Berlin (AB),Air Berlin,929,2:21,,,,,319 320 321,,,,,,,
,,,Codeshare,1229,346,214,,,,,,,,,,,,
- -,MAD,MUC,Iberia Airlines (IB),Iberia Airlines,929,2:21,,,,,319 320 321,,,,,,,
,,,Direct,1229,346,2822,,,,,,,,,,,,
- -,MAD,MUC,Lufthansa (LH),Lufthansa,929,2:21,,,,,321 320 319,,,,,,,
,,,Direct,1229,346,3320,,,,,,,,,,,,
- -,MAD,MUC,Air Europa (UX),Air Europa,929,2:21,,,,,E90,,,,,,,
,,,Direct,1229,346,90,,,,,,,,,,,,
- -,MAD,MVD,Air Europa (UX),Air Europa,6176,12:51,,,,,332,,,,,,,
,,,Direct,1229,2816,90,,,,,,,,,,,,
- -,MAD,MXP,Iberia Airlines (IB),Iberia Airlines,714,1:55,,,,,321 320,,,,,,,
,,,Direct,1229,1524,2822,,,,,,,,,,,,
- -,MAD,MXP,easyJet (U2),easyJet,714,1:55,,,,,319,,,,,,,
,,,Direct,1229,1524,2297,,,,,,,,,,,,
- -,MAD,MXP,Air Europa (UX),Air Europa,714,1:55,,,,,738,,,,,,,
,,,Direct,1229,1524,90,,,,,,,,,,,,
- -,MAD,NCE,Iberia Airlines (IB),Iberia Airlines,594,1:41,,,,,CRK CR9,,,,,,,
,,,Codeshare,1229,1354,2822,,,,,,,,,,,,
- -,MAD,NTE,Iberia Airlines (IB),Iberia Airlines,471,1:26,,,,,CRK,,,,,,,
,,,Codeshare,1229,1418,2822,,,,,,,,,,,,
- -,MAD,OPO,Ryanair (FR),Ryanair,272,1:02,,,,,738,,,,,,,
,,,Direct,1229,1636,4296,,,,,,,,,,,,
- -,MAD,OPO,Iberia Airlines (IB),Iberia Airlines,272,1:02,,,,,CRK CR9,,,,,,,
,,,Codeshare,1229,1636,2822,,,,,,,,,,,,
- -,MAD,OPO,SATA International (S4),SATA International,272,1:02,,,,,ER4,,,,,,,
,,,Codeshare,1229,1636,4304,,,,,,,,,,,,
- -,MAD,OPO,Thai Airways International (TG),Thai Airways International,272,1:02,,,,,ER4,,,,,,,
,,,Direct,1229,1636,4940,,,,,,,,,,,,
- -,MAD,OPO,TAP Portugal (TP),TAP Portugal,272,1:02,,,,,ER4,,,,,,,
,,,Codeshare,1229,1636,4869,,,,,,,,,,,,
- -,MAD,OPO,US Airways (US),US Airways,272,1:02,,,,,ER4,,,,,,,
,,,Codeshare,1229,1636,5265,,,,,,,,,,,,
- -,MAD,ORD,American Airlines (AA),American Airlines,4189,8:52,,,,,330,,,,,,,
,,,Direct,1229,3830,24,,,,,,,,,,,,
- -,MAD,ORD,Finnair (AY),Finnair,4189,8:52,,,,,333,,,,,,,
,,,Direct,1229,3830,2350,,,,,,,,,,,,
- -,MAD,ORD,British Airways (BA),British Airways,4189,8:52,,,,,333,,,,,,,
,,,Codeshare,1229,3830,1355,,,,,,,,,,,,
- -,MAD,ORD,Iberia Airlines (IB),Iberia Airlines,4189,8:52,,,,,333,,,,,,,
,,,Direct,1229,3830,2822,,,,,,,,,,,,
- -,MAD,ORN,Iberia Airlines (IB),Iberia Airlines,370,1:14,,,,,319,,,,,,,
,,,Direct,1229,231,2822,,,,,,,,,,,,
- -,MAD,ORY,Air France (AF),Air France,639,1:46,,,,,738 E90,,,,,,,
,,,Codeshare,1229,1386,137,,,,,,,,,,,,
- -,MAD,ORY,Iberia Airlines (IB),Iberia Airlines,639,1:46,,,,,320 321 319,,,,,,,
,,,Direct,1229,1386,2822,,,,,,,,,,,,
- -,MAD,ORY,Air Europa (UX),Air Europa,639,1:46,,,,,738 E90,,,,,,,
,,,Direct,1229,1386,90,,,,,,,,,,,,
- -,MAD,OTP,Tarom (RO),Tarom,1526,3:33,,,,,73H,,,,,,,
,,,Direct,1229,1657,5179,,,,,,,,,,,,
- -,MAD,OTP,Air Europa (UX),Air Europa,1526,3:33,,,,,737,,,,,,,
,,,Codeshare,1229,1657,90,,,,,,,,,,,,
- -,MAD,OTP,Wizz Air (W6),Wizz Air,1526,3:33,,,,,320,,,,,,,
,,,Direct,1229,1657,5461,,,,,,,,,,,,
- -,MAD,OVD,Iberia Airlines (IB),Iberia Airlines,248,0:59,,,,,319 320,,,,,,,
,,,Direct,1229,1214,2822,,,,,,,,,,,,
- -,MAD,OVD,Air Europa (UX),Air Europa,248,0:59,,,,,ATR,,,,,,,
,,,Direct,1229,1214,90,,,,,,,,,,,,
- -,MAD,PEK,Air China (CA),Air China,5716,11:55,,,,,330,,,,,,,
,,,Direct,1229,3364,751,,,,,,,,,,,,
- -,MAD,PEK,TAM Brazilian Airlines (JJ),TAM Brazilian Airlines,5716,11:55,,,,,330,,,,,,,
,,,Direct,1229,3364,4867,,,,,,,,,,,,
- -,MAD,PHL,American Airlines (AA),American Airlines,3670,7:50,,,,,333,,,,,,,
,,,Direct,1229,3752,24,,,,,,,,,,,,
- -,MAD,PHL,US Airways (US),US Airways,3670,7:50,,,,,333,,,,,,,
,,,Direct,1229,3752,5265,,,,,,,,,,,,
- -,MAD,PMI,Alitalia (AZ),Alitalia,339,1:10,,,,,738 E90,,,,,,,
,,,Codeshare,1229,3998,596,,,,,,,,,,,,
- -,MAD,PMI,Ryanair (FR),Ryanair,339,1:10,,,,,738,,,,,,,
,,,Direct,1229,3998,4296,,,,,,,,,,,,
- -,MAD,PMI,Iberia Airlines (IB),Iberia Airlines,339,1:10,,,,,32S,,,,,,,
,,,Codeshare,1229,3998,2822,,,,,,,,,,,,
- -,MAD,PMI,Air Europa (UX),Air Europa,339,1:10,,,,,738 E90,,,,,,,
,,,Direct,1229,3998,90,,,,,,,,,,,,
- -,MAD,PMO,Ryanair (FR),Ryanair,902,2:18,,,,,738,,,,,,,
,,,Direct,1229,1512,4296,,,,,,,,,,,,
- -,MAD,PNA,Iberia Airlines (IB),Iberia Airlines,186,0:52,,,,,CR9 CR2 CRK,,,,,,,
,,,Codeshare,1229,1234,2822,,,,,,,,,,,,
- -,MAD,PRG,Iberia Airlines (IB),Iberia Airlines,1087,2:40,,,,,321 320,,,,,,,
,,,Direct,1229,1587,2822,,,,,,,,,,,,
- -,MAD,PRG,Czech Airlines (OK),Czech Airlines,1087,2:40,,,,,319 321,,,,,,,
,,,Direct,1229,1587,1946,,,,,,,,,,,,
- -,MAD,PRG,Air Europa (UX),Air Europa,1087,2:40,,,,,32S,,,,,,,
,,,Direct,1229,1587,90,,,,,,,,,,,,
- -,MAD,PSA,Ryanair (FR),Ryanair,747,1:59,,,,,738,,,,,,,
,,,Direct,1229,1562,4296,,,,,,,,,,,,
- -,MAD,PTY,Iberia Airlines (IB),Iberia Airlines,5065,10:37,,,,,346 342 333,,,,,,,
,,,Direct,1229,1871,2822,,,,,,,,,,,,
- -,MAD,PUJ,Compagnie Africaine d\'Aviation (E9),Compagnie Africaine d\'Aviation,4080,8:39,,,,,333,,,,,,,
,,,Direct,1229,1760,11806,,,,,,,,,,,,
- -,MAD,PUJ,Air Europa (UX),Air Europa,4080,8:39,,,,,333,,,,,,,
,,,Direct,1229,1760,90,,,,,,,,,,,,
- -,MAD,RAK,Royal Air Maroc (AT),Royal Air Maroc,660,1:49,,,,,738,,,,,,,
,,,Direct,1229,1075,4248,,,,,,,,,,,,
- -,MAD,RAK,Ryanair (FR),Ryanair,660,1:49,,,,,738,,,,,,,
,,,Direct,1229,1075,4296,,,,,,,,,,,,
- -,MAD,RAK,Iberia Airlines (IB),Iberia Airlines,660,1:49,,,,,CR9 CRK CR2,,,,,,,
,,,Codeshare,1229,1075,2822,,,,,,,,,,,,
- -,MAD,RBA,Ryanair (FR),Ryanair,476,1:27,,,,,738,,,,,,,
,,,Direct,1229,1072,4296,,,,,,,,,,,,
- -,MAD,RJL,Iberia Airlines (IB),Iberia Airlines,151,0:48,,,,,CR2,,,,,,,
,,,Codeshare,1229,5781,2822,,,,,,,,,,,,
- -,MAD,RTM,Transavia Holland (HV),Transavia Holland,879,2:15,,,,,73H 73W,,,,,,,
,,,Direct,1229,591,5039,,,,,,,,,,,,
- -,MAD,RYG,Ryanair (FR),Ryanair,1445,3:23,,,,,738,,,,,,,
,,,Direct,1229,657,4296,,,,,,,,,,,,
- -,MAD,SAW,Pegasus Airlines (PC),Pegasus Airlines,1711,3:55,,,,,738,,,,,,,
,,,Direct,1229,4317,3926,,,,,,,,,,,,
- -,MAD,SCL,Iberia Airlines (IB),Iberia Airlines,6656,13:48,,,,,346 345 342,,,,,,,
,,,Direct,1229,2650,2822,,,,,,,,,,,,
- -,MAD,SCL,LAN Airlines (LA),LAN Airlines,6656,13:48,,,,,787,,,,,,,
,,,Direct,1229,2650,3200,,,,,,,,,,,,
- -,MAD,SCQ,Ryanair (FR),Ryanair,301,1:06,,,,,738,,,,,,,
,,,Direct,1229,1243,4296,,,,,,,,,,,,
- -,MAD,SCQ,Iberia Airlines (IB),Iberia Airlines,301,1:06,,,,,32S,,,,,,,
,,,Codeshare,1229,1243,2822,,,,,,,,,,,,
- -,MAD,SCU,Cubana de Aviación (CU),Cubana de Aviación,4415,9:19,,,,,IL9,,,,,,,
,,,Direct,1229,1905,1936,,,,,,,,,,,,
- -,MAD,SDQ,Air Europa (UX),Air Europa,4154,8:48,,,,,332,,,,,,,
,,,Direct,1229,1762,90,,,,,,,,,,,,
- -,MAD,SDR,Iberia Airlines (IB),Iberia Airlines,204,0:54,,,,,319,,,,,,,
,,,Direct,1229,1251,2822,,,,,,,,,,,,
- -,MAD,SJO,Iberia Airlines (IB),Iberia Airlines,5278,11:03,,,,,345 346,,,,,,,
,,,Direct,1229,1885,2822,,,,,,,,,,,,
- -,MAD,SOF,Bulgaria Air (FB),Bulgaria Air,1395,3:17,,,,,319 320 E90,,,,,,,
,,,Direct,1229,1194,1548,,,,,,,,,,,,
- -,MAD,SOF,Iberia Airlines (IB),Iberia Airlines,1395,3:17,,,,,319 320 E90,,,,,,,
,,,Codeshare,1229,1194,2822,,,,,,,,,,,,
- -,MAD,SOF,Wizz Air (W6),Wizz Air,1395,3:17,,,,,320,,,,,,,
,,,Direct,1229,1194,5461,,,,,,,,,,,,
- -,MAD,SPC,Iberia Airlines (IB),Iberia Airlines,1146,2:47,,,,,32S,,,,,,,
,,,Codeshare,1229,1053,2822,,,,,,,,,,,,
- -,MAD,SSA,Air Europa (UX),Air Europa,4305,9:06,,,,,332,,,,,,,
,,,Direct,1229,2621,90,,,,,,,,,,,,
- -,MAD,SSG,Iberia Airlines (IB),Iberia Airlines,2648,5:47,,,,,319,,,,,,,
,,,Direct,1229,891,2822,,,,,,,,,,,,
- -,MAD,STN,Ryanair (FR),Ryanair,808,2:06,,,,,738,,,,,,,
,,,Direct,1229,548,4296,,,,,,,,,,,,
- -,MAD,SVO,Aeroflot Russian Airlines (SU),Aeroflot Russian Airlines,2124,4:44,,,,,321 320,,,,,,,
,,,Direct,1229,2985,130,,,,,,,,,,,,
- -,MAD,SVO,Air Europa (UX),Air Europa,2124,4:44,,,,,32S,,,,,,,
,,,Codeshare,1229,2985,90,,,,,,,,,,,,
- -,MAD,SVQ,Iberia Airlines (IB),Iberia Airlines,245,0:59,,,,,32S,,,,,,,
,,,Codeshare,1229,1253,2822,,,,,,,,,,,,
- -,MAD,SXB,Iberia Airlines (IB),Iberia Airlines,782,2:03,,,,,CR2,,,,,,,
,,,Codeshare,1229,1435,2822,,,,,,,,,,,,
- -,MAD,SXF,easyJet (U2),easyJet,1150,2:48,,,,,320 319,,,,,,,
,,,Direct,1229,337,2297,,,,,,,,,,,,
- -,MAD,TFN,Alitalia (AZ),Alitalia,1099,2:41,,,,,738 332,,,,,,,
,,,Codeshare,1229,1057,596,,,,,,,,,,,,
- -,MAD,TFN,Ryanair (FR),Ryanair,1099,2:41,,,,,738,,,,,,,
,,,Direct,1229,1057,4296,,,,,,,,,,,,
- -,MAD,TFN,Iberia Airlines (IB),Iberia Airlines,1099,2:41,,,,,32S,,,,,,,
,,,Codeshare,1229,1057,2822,,,,,,,,,,,,
- -,MAD,TFN,Czech Airlines (OK),Czech Airlines,1099,2:41,,,,,738,,,,,,,
,,,Direct,1229,1057,1946,,,,,,,,,,,,
- -,MAD,TFN,Air Europa (UX),Air Europa,1099,2:41,,,,,332 738,,,,,,,
,,,Direct,1229,1057,90,,,,,,,,,,,,
- -,MAD,TFS,Ryanair (FR),Ryanair,1132,2:45,,,,,738,,,,,,,
,,,Direct,1229,1056,4296,,,,,,,,,,,,
- -,MAD,TFS,Iberia Airlines (IB),Iberia Airlines,1132,2:45,,,,,32S,,,,,,,
,,,Codeshare,1229,1056,2822,,,,,,,,,,,,
- -,MAD,TIP,Libyan Arab Airlines (LN),Libyan Arab Airlines,1070,2:38,,,,,320,,,,,,,
,,,Direct,1229,1157,3258,,,,,,,,,,,,
- -,MAD,TLS,Iberia Airlines (IB),Iberia Airlines,333,1:09,,,,,CR9 CRK CR2,,,,,,,
,,,Codeshare,1229,1273,2822,,,,,,,,,,,,
- -,MAD,TLV,Iberia Airlines (IB),Iberia Airlines,2200,4:54,,,,,319,,,,,,,
,,,Direct,1229,1590,2822,,,,,,,,,,,,
- -,MAD,TLV,El Al Israel Airlines (LY),El Al Israel Airlines,2200,4:54,,,,,739 738,,,,,,,
,,,Direct,1229,1590,2150,,,,,,,,,,,,
- -,MAD,TNG,Royal Air Maroc (AT),Royal Air Maroc,351,1:12,,,,,AT7,,,,,,,
,,,Direct,1229,1080,4248,,,,,,,,,,,,
- -,MAD,TNG,Ryanair (FR),Ryanair,351,1:12,,,,,738,,,,,,,
,,,Direct,1229,1080,4296,,,,,,,,,,,,
- -,MAD,TNG,Iberia Airlines (IB),Iberia Airlines,351,1:12,,,,,CRK CR9,,,,,,,
,,,Codeshare,1229,1080,2822,,,,,,,,,,,,
- -,MAD,TRN,Iberia Airlines (IB),Iberia Airlines,654,1:48,,,,,CRK CR9,,,,,,,
,,,Codeshare,1229,1526,2822,,,,,,,,,,,,
- -,MAD,TSR,Wizz Air (W6),Wizz Air,1301,3:06,,,,,320,,,,,,,
,,,Direct,1229,1663,5461,,,,,,,,,,,,
- -,MAD,TUN,Tunisair (TU),Tunisair,783,2:03,,,,,32A 320,,,,,,,
,,,Direct,1229,287,4870,,,,,,,,,,,,
- -,MAD,TXL,Air Berlin (AB),Air Berlin,1151,2:48,,,,,738 320,,,,,,,
,,,Direct,1229,351,214,,,,,,,,,,,,
- -,MAD,TXL,Iberia Airlines (IB),Iberia Airlines,1151,2:48,,,,,738,,,,,,,
,,,Direct,1229,351,2822,,,,,,,,,,,,
- -,MAD,UIO,Iberia Airlines (IB),Iberia Airlines,5426,11:21,,,,,342 345 346 340,,,,,,,
,,,Direct,1229,2688,2822,,,,,,,,,,,,
- -,MAD,UIO,LAN Airlines (LA),LAN Airlines,5426,11:21,,,,,346 343,,,,,,,
,,,Codeshare,1229,2688,3200,,,,,,,,,,,,
- -,MAD,VCE,Iberia Airlines (IB),Iberia Airlines,873,2:14,,,,,321 319 320,,,,,,,
,,,Direct,1229,1551,2822,,,,,,,,,,,,
- -,MAD,VGO,Finnair (AY),Finnair,289,1:04,,,,,32S,,,,,,,
,,,Codeshare,1229,1250,2350,,,,,,,,,,,,
- -,MAD,VGO,Alitalia (AZ),Alitalia,289,1:04,,,,,E90,,,,,,,
,,,Codeshare,1229,1250,596,,,,,,,,,,,,
- -,MAD,VGO,Iberia Airlines (IB),Iberia Airlines,289,1:04,,,,,32S,,,,,,,
,,,Codeshare,1229,1250,2822,,,,,,,,,,,,
- -,MAD,VGO,Air Europa (UX),Air Europa,289,1:04,,,,,E90,,,,,,,
,,,Direct,1229,1250,90,,,,,,,,,,,,
- -,MAD,VIE,Air Berlin (AB),Air Berlin,1121,2:44,,,,,320 321,,,,,,,
,,,Direct,1229,1613,214,,,,,,,,,,,,
- -,MAD,VIE,Niki (HG),Niki,1121,2:44,,,,,320,,,,,,,
,,,Direct,1229,1613,3661,,,,,,,,,,,,
- -,MAD,VIE,Iberia Airlines (IB),Iberia Airlines,1121,2:44,,,,,320 321 319,,,,,,,
,,,Direct,1229,1613,2822,,,,,,,,,,,,
- -,MAD,VKO,Transaero Airlines (UN),Transaero Airlines,2112,4:43,,,,,738 73G,,,,,,,
,,,Direct,1229,2988,5067,,,,,,,,,,,,
- -,MAD,VLC,Finnair (AY),Finnair,176,0:51,,,,,CR9,,,,,,,
,,,Codeshare,1229,1246,2350,,,,,,,,,,,,
- -,MAD,VLC,Iberia Airlines (IB),Iberia Airlines,176,0:51,,,,,CR9 AT7 CRK CR2,,,,,,,
,,,Codeshare,1229,1246,2822,,,,,,,,,,,,
- -,MAD,VLC,Air Europa (UX),Air Europa,176,0:51,,,,,ATR,,,,,,,
,,,Codeshare,1229,1246,90,,,,,,,,,,,,
- -,MAD,VVI,Astrakhan Airlines (OB),Astrakhan Airlines,5537,11:34,,,,,762,,,,,,,
,,,Direct,1229,2771,462,,,,,,,,,,,,
- -,MAD,VVI,Air Europa (UX),Air Europa,5537,11:34,,,,,332,,,,,,,
,,,Direct,1229,2771,90,,,,,,,,,,,,
- -,MAD,WAW,LOT Polish Airlines (LO),LOT Polish Airlines,1410,3:19,,,,,734 E95,,,,,,,
,,,Direct,1229,679,3210,,,,,,,,,,,,
- -,MAD,XRY,Iberia Airlines (IB),Iberia Airlines,290,1:04,,,,,CRK CR9 CR2,,,,,,,
,,,Codeshare,1229,1226,2822,,,,,,,,,,,,
- -,MAD,ZRH,Air Berlin (AB),Air Berlin,770,2:02,,,,,319,,,,,,,
,,,Codeshare,1229,1678,214,,,,,,,,,,,,
- -,MAD,ZRH,Iberia Airlines (IB),Iberia Airlines,770,2:02,,,,,319,,,,,,,
,,,Direct,1229,1678,2822,,,,,,,,,,,,
- -,MAD,ZRH,Swiss International Air Lines (LX),Swiss International Air Lines,770,2:02,,,,,320 32A,,,,,,,
,,,Direct,1229,1678,4559,,,,,,,,,,,,
