Date,From,To,Flight_Number,Airline,Distance,Duration,Seat,Seat_Type,Class,Reason,Plane,Registration,Trip,Note,From_OID,To_OID,Airline_OID,Plane_OID
- -,MAD,BOS,Iberia Airlines (IB),Iberia Airlines,3399,7:17,,,,,333,,,,,,,
,,,Direct,1229,3448,2822,,,,,,,,,,,,
- -,MAD,BRS,easyJet (U2),easyJet,754,2:00,,,,,320 319,,,,,,,
,,,Direct,1229,490,2297,,,,,,,,,,,,
- -,MAD,BRU,AeroMéxico (AM),AeroMéxico,817,2:08,,,,,E90,,,,,,,
,,,Direct,1229,302,321,,,,,,,,,,,,
- -,MAD,BRU,Hainan Airlines (HU),Hainan Airlines,817,2:08,,,,,319,,,,,,,
,,,Direct,1229,302,2660,,,,,,,,,,,,
- -,MAD,BRU,Iberia Airlines (IB),Iberia Airlines,817,2:08,,,,,321 320,,,,,,,
,,,Direct,1229,302,2822,,,,,,,,,,,,
- -,MAD,BRU,Brussels Airlines (SN),Brussels Airlines,817,2:08,,,,,320 319 AR1,,,,,,,
,,,Direct,1229,302,1531,,,,,,,,,,,,
- -,MAD,BRU,Air Europa (UX),Air Europa,817,2:08,,,,,E90,,,,,,,
,,,Direct,1229,302,90,,,,,,,,,,,,
- -,MAD,BSL,easyJet (U2),easyJet,736,1:58,,,,,319 320,,,,,,,
,,,Direct,1229,1423,2297,,,,,,,,,,,,
- -,MAD,BUD,Ryanair (FR),Ryanair,1226,2:57,,,,,738,,,,,,,
,,,Direct,1229,1489,4296,,,,,,,,,,,,
- -,MAD,BUD,Wizz Air (W6),Wizz Air,1226,2:57,,,,,320,,,,,,,
,,,Direct,1229,1489,5461,,,,,,,,,,,,
- -,MAD,BVA,Ryanair (FR),Ryanair,678,1:51,,,,,738,,,,,,,
,,,Direct,1229,1367,4296,,,,,,,,,,,,
- -,MAD,CAG,Ryanair (FR),Ryanair,673,1:50,,,,,738,,,,,,,
,,,Direct,1229,1519,4296,,,,,,,,,,,,
- -,MAD,CAI,Egyptair (MS),Egyptair,2080,4:39,,,,,738,,,,,,,
,,,Direct,1229,1128,2143,,,,,,,,,,,,
- -,MAD,CCS,Iberia Airlines (IB),Iberia Airlines,4350,9:12,,,,,333,,,,,,,
,,,Direct,1229,2851,2822,,,,,,,,,,,,
- -,MAD,CCS,Air Europa (UX),Air Europa,4350,9:12,,,,,332,,,,,,,
,,,Direct,1229,2851,90,,,,,,,,,,,,
- -,MAD,CCS,Conviasa (V0),Conviasa,4350,9:12,,,,,330,,,,,,,
,,,Direct,1229,2851,1886,,,,,,,,,,,,
- -,MAD,CDG,Air France (AF),Air France,661,1:49,,,,,321 320 318 32A 319,,,,,,,
,,,Direct,1229,1382,137,,,,,,,,,,,,
- -,MAD,CDG,easyJet (U2),easyJet,661,1:49,,,,,319,,,,,,,
,,,Direct,1229,1382,2297,,,,,,,,,,,,
- -,MAD,CDG,Formosa Airlines (VY),Formosa Airlines,661,1:49,,,,,320,,,,,,,
,,,Direct,1229,1382,2439,,,,,,,,,,,,
- -,MAD,CIA,Ryanair (FR),Ryanair,844,2:11,,,,,738,,,,,,,
,,,Direct,1229,1553,4296,,,,,,,,,,,,
- -,MAD,CLJ,Wizz Air (W6),Wizz Air,1421,3:20,,,,,320,,,,,,,
,,,Direct,1229,1652,5461,,,,,,,,,,,,
- -,MAD,CLO,Avianca - Aerovias Nacionales de Colombia (AV),Avianca - Aerovias Nacionales de Colombia,5156,10:48,,,,,330,,,,,,,
,,,Direct,1229,2715,515,,,,,,,,,,,,
- -,MAD,CMN,Royal Air Maroc (AT),Royal Air Maroc,538,1:34,,,,,738 73G,,,,,,,
,,,Direct,1229,1074,4248,,,,,,,,,,,,
- -,MAD,CMN,Iberia Airlines (IB),Iberia Airlines,538,1:34,,,,,320 319,,,,,,,
,,,Direct,1229,1074,2822,,,,,,,,,,,,
- -,MAD,CPH,Norwegian Air Shuttle (DY),Norwegian Air Shuttle,1279,3:03,,,,,73H,,,,,,,
,,,Direct,1229,609,3737,,,,,,,,,,,,
- -,MAD,CPH,Iberia Airlines (IB),Iberia Airlines,1279,3:03,,,,,32S,,,,,,,
,,,Codeshare,1229,609,2822,,,,,,,,,,,,
- -,MAD,CPH,Scandinavian Airlines System (SK),Scandinavian Airlines System,1279,3:03,,,,,320 321,,,,,,,
,,,Direct,1229,609,4319,,,,,,,,,,,,
- -,MAD,CRL,Ryanair (FR),Ryanair,790,2:04,,,,,738,,,,,,,
,,,Direct,1229,304,4296,,,,,,,,,,,,
- -,MAD,CTA,Ryanair (FR),Ryanair,1019,2:32,,,,,738,,,,,,,
,,,Direct,1229,1509,4296,,,,,,,,,,,,
- -,MAD,CUN,AeroMéxico (AM),AeroMéxico,4944,10:23,,,,,333,,,,,,,
,,,Direct,1229,1852,321,,,,,,,,,,,,
- -,MAD,CUN,Compagnie Africaine d\'Aviation (E9),Compagnie Africaine d\'Aviation,4944,10:23,,,,,333,,,,,,,
,,,Direct,1229,1852,11806,,,,,,,,,,,,
- -,MAD,CUN,Air Europa (UX),Air Europa,4944,10:23,,,,,333,,,,,,,
,,,Direct,1229,1852,90,,,,,,,,,,,,
- -,MAD,DFW,American Airlines (AA),American Airlines,4951,10:24,,,,,777,,,,,,,
,,,Direct,1229,3670,24,,,,,,,,,,,,
- -,MAD,DFW,Finnair (AY),Finnair,4951,10:24,,,,,777,,,,,,,
,,,Direct,1229,3670,2350,,,,,,,,,,,,
- -,MAD,DFW,British Airways (BA),British Airways,4951,10:24,,,,,777,,,,,,,
,,,Codeshare,1229,3670,1355,,,,,,,,,,,,
- -,MAD,DFW,Iberia Airlines (IB),Iberia Airlines,4951,10:24,,,,,777,,,,,,,
,,,Codeshare,1229,3670,2822,,,,,,,,,,,,
- -,MAD,DFW,US Airways (US),US Airways,4951,10:24,,,,,777,,,,,,,
,,,Direct,1229,3670,5265,,,,,,,,,,,,
- -,MAD,DJE,Tunisair (TU),Tunisair,909,2:19,,,,,32A,,,,,,,
,,,Direct,1229,293,4870,,,,,,,,,,,,
- -,MAD,DKR,Iberia Airlines (IB),Iberia Airlines,1964,4:25,,,,,321 319,,,,,,,
,,,Direct,1229,1084,2822,,,,,,,,,,,,
- -,MAD,DKR,Air Europa (UX),Air Europa,1964,4:25,,,,,738,,,,,,,
,,,Direct,1229,1084,90,,,,,,,,,,,,
- -,MAD,DME,Iberia Airlines (IB),Iberia Airlines,2134,4:46,,,,,319,,,,,,,
,,,Direct,1229,4029,2822,,,,,,,,,,,,
- -,MAD,DME,S7 Airlines (S7),S7 Airlines,2134,4:46,,,,,319,,,,,,,
,,,Direct,1229,4029,4329,,,,,,,,,,,,
- -,MAD,DOH,Cathay Pacific (CX),Cathay Pacific,3309,7:07,,,,,77W,,,,,,,
,,,Direct,1229,11051,1680,,,,,,,,,,,,
- -,MAD,DOH,Qatar Airways (QR),Qatar Airways,3309,7:07,,,,,77W,,,,,,,
,,,Direct,1229,11051,4091,,,,,,,,,,,,
- -,MAD,DOH,US Airways (US),US Airways,3309,7:07,,,,,77W 772,,,,,,,
,,,Direct,1229,11051,5265,,,,,,,,,,,,
- -,MAD,DUB,Aer Lingus (EI),Aer Lingus,903,2:18,,,,,320,,,,,,,
,,,Direct,1229,599,837,,,,,,,,,,,,
- -,MAD,DUB,Ryanair (FR),Ryanair,903,2:18,,,,,738,,,,,,,
,,,Direct,1229,599,4296,,,,,,,,,,,,
- -,MAD,DUB,Iberia Airlines (IB),Iberia Airlines,903,2:18,,,,,32S,,,,,,,
,,,Codeshare,1229,599,2822,,,,,,,,,,,,
- -,MAD,DUS,Germanwings (4U),Germanwings,895,2:17,,,,,CRJ,,,,,,,
,,,Direct,1229,345,2548,,,,,,,,,,,,
- -,MAD,DUS,Air Berlin (AB),Air Berlin,895,2:17,,,,,32A 738 321,,,,,,,
,,,Direct,1229,345,214,,,,,,,,,,,,
- -,MAD,DUS,Iberia Airlines (IB),Iberia Airlines,895,2:17,,,,,32S,,,,,,,
,,,Codeshare,1229,345,2822,,,,,,,,,,,,
- -,MAD,DXB,Emirates (EK),Emirates,3508,7:30,,,,,77W,,,,,,,
,,,Direct,1229,2188,2183,,,,,,,,,,,,
- -,MAD,EAS,Iberia Airlines (IB),Iberia Airlines,219,0:56,,,,,AT7 CR2,,,,,,,
,,,Codeshare,1229,1242,2822,,,,,,,,,,,,
- -,MAD,EDI,easyJet (U2),easyJet,1068,2:38,,,,,319 320,,,,,,,
,,,Direct,1229,535,2297,,,,,,,,,,,,
- -,MAD,EIN,Transavia Holland (HV),Transavia Holland,869,2:14,,,,,73W,,,,,,,
,,,Direct,1229,585,5039,,,,,,,,,,,,
- -,MAD,EWR,Lufthansa (LH),Lufthansa,3595,7:41,,,,,752,,,,,,,
,,,Codeshare,1229,3494,3320,,,,,,,,,,,,
- -,MAD,EWR,United Airlines (UA),United Airlines,3595,7:41,,,,,752,,,,,,,
,,,Direct,1229,3494,5209,,,,,,,,,,,,
- -,MAD,EZE,Aerolineas Argentinas (AR),Aerolineas Argentinas,6263,13:01,,,,,340,,,,,,,
,,,Direct,1229,3988,412,,,,,,,,,,,,
- -,MAD,EZE,Iberia Airlines (IB),Iberia Airlines,6263,13:01,,,,,346 342 345,,,,,,,
,,,Direct,1229,3988,2822,,,,,,,,,,,,
- -,MAD,EZE,Air Europa (UX),Air Europa,6263,13:01,,,,,332,,,,,,,
,,,Direct,1229,3988,90,,,,,,,,,,,,
- -,MAD,FCO,Alitalia (AZ),Alitalia,825,2:09,,,,,321 32S 319 320,,,,,,,
,,,Direct,1229,1555,596,,,,,,,,,,,,
- -,MAD,FCO,Iberia Airlines (IB),Iberia Airlines,825,2:09,,,,,321 319,,,,,,,
,,,Direct,1229,1555,2822,,,,,,,,,,,,
- -,MAD,FCO,Air Europa (UX),Air Europa,825,2:09,,,,,738,,,,,,,
,,,Direct,1229,1555,90,,,,,,,,,,,,
- -,MAD,FLR,Iberia Airlines (IB),Iberia Airlines,789,2:04,,,,,320,,,,,,,
,,,Codeshare,1229,1563,2822,,,,,,,,,,,,
- -,MAD,FLR,Formosa Airlines (VY),Formosa Airlines,789,2:04,,,,,319,,,,,,,
,,,Direct,1229,1563,2439,,,,,,,,,,,,
- -,MAD,FRA,Air Berlin (AB),Air Berlin,883,2:15,,,,,32A,,,,,,,
,,,Codeshare,1229,340,214,,,,,,,,,,,,
- -,MAD,FRA,Finnair (AY),Finnair,883,2:15,,,,,32A,,,,,,,
,,,Codeshare,1229,340,2350,,,,,,,,,,,,
- -,MAD,FRA,Ethiopian Airlines (ET),Ethiopian Airlines,883,2:15,,,,,321 320,,,,,,,
,,,Codeshare,1229,340,2220,,,,,,,,,,,,
- -,MAD,FRA,Iberia Airlines (IB),Iberia Airlines,883,2:15,,,,,32S,,,,,,,
,,,Codeshare,1229,340,2822,,,,,,,,,,,,
- -,MAD,FRA,LAN Airlines (LA),LAN Airlines,883,2:15,,,,,787,,,,,,,
,,,Direct,1229,340,3200,,,,,,,,,,,,
- -,MAD,FRA,Lufthansa (LH),Lufthansa,883,2:15,,,,,321 32A 319 320,,,,,,,
,,,Direct,1229,340,3320,,,,,,,,,,,,
- -,MAD,FRA,Air Europa (UX),Air Europa,883,2:15,,,,,E90,,,,,,,
,,,Direct,1229,340,90,,,,,,,,,,,,
- -,MAD,FRA,Vietnam Airlines (VN),Vietnam Airlines,883,2:15,,,,,738,,,,,,,
,,,Direct,1229,340,5309,,,,,,,,,,,,
- -,MAD,FUE,Alitalia (AZ),Alitalia,1014,2:31,,,,,738,,,,,,,
,,,Codeshare,1229,1051,596,,,,,,,,,,,,
- -,MAD,FUE,Ryanair (FR),Ryanair,1014,2:31,,,,,738,,,,,,,
,,,Direct,1229,1051,4296,,,,,,,,,,,,
- -,MAD,FUE,Iberia Airlines (IB),Iberia Airlines,1014,2:31,,,,,32S,,,,,,,
,,,Codeshare,1229,1051,2822,,,,,,,,,,,,
- -,MAD,FUE,Air Europa (UX),Air Europa,1014,2:31,,,,,738,,,,,,,
,,,Direct,1229,1051,90,,,,,,,,,,,,
- -,MAD,GIG,Iberia Airlines (IB),Iberia Airlines,5059,10:37,,,,,342 333 345 346,,,,,,,
,,,Direct,1229,2560,2822,,,,,,,,,,,,
- -,MAD,GRU,Air China (CA),Air China,5202,10:54,,,,,330,,,,,,,
,,,Direct,1229,2564,751,,,,,,,,,,,,
