Date,From,To,Flight_Number,Airline,Distance,Duration,Seat,Seat_Type,Class,Reason,Plane,Registration,Trip,Note,From_OID,To_OID,Airline_OID,Plane_OID
- -,BRS,KUN,Ryanair (FR),Ryanair,1129,02:45,,,,,738,,,"Direct",490,3956,4296
- -,BRS,LIG,Ryanair (FR),Ryanair,420,01:20,,,,,738,,,"Direct",490,1270,4296
- -,BRS,LIS,easyJet (U2),easyJet,923,02:20,,,,,320,,,"Direct",490,1638,2297
- -,BRS,LPA,Ryanair (FR),Ryanair,1748,03:59,,,,,738,,,"Direct",490,1054,4296
- -,BRS,LPA,Transavia France (TO),Transavia France,1748,03:59,,,,,75W,,,"Direct",490,1054,8745
- -,BRS,MAD,easyJet (U2),easyJet,754,02:00,,,,,320 319,,,"Direct",490,1229,2297
- -,BRS,MAH,Transavia France (TO),Transavia France,862,02:13,,,,,75W,,,"Direct",490,1231,8745
- -,BRS,MJV,easyJet (U2),easyJet,944,02:23,,,,,319 320,,,"Direct",490,1227,2297
- -,BRS,MLA,Ryanair (FR),Ryanair,1367,03:14,,,,,738,,,"Direct",490,1606,4296
- -,BRS,MLA,Air Malta (KM),Air Malta,1367,03:14,,,,,320,,,"Direct",490,1606,242
- -,BRS,MUC,Air Sicilia (BM),Air Sicilia,677,01:51,,,,,ER4,,,"Direct",490,346,312
- -,BRS,MXP,Air Sicilia (BM),Air Sicilia,656,01:48,,,,,ER4,,,"Direct",490,1524,312
- -,BRS,NBE,Transavia France (TO),Transavia France,1240,02:58,,,,,75W,,,"Direct",490,7447,8745
- -,BRS,NCE,easyJet (U2),easyJet,705,01:54,,,,,319 320,,,"Direct",490,1354,2297
- -,BRS,NCL,easyJet (U2),easyJet,255,01:00,,,,,319 320,,,"Direct",490,521,2297
- -,BRS,NOC,Ryanair (FR),Ryanair,309,01:07,,,,,738,,,"Direct",490,600,4296
- -,BRS,ORK,Aer Lingus (EI),Aer Lingus,249,00:59,,,,,AT7,,,"Codeshare",490,596,837
- -,BRS,PFO,Transavia France (TO),Transavia France,2086,04:40,,,,,75W,,,"Direct",490,1198,8745
- -,BRS,PFO,easyJet (U2),easyJet,2086,04:40,,,,,320,,,"Direct",490,1198,2297
- -,BRS,PMI,Ryanair (FR),Ryanair,858,02:12,,,,,738,,,"Direct",490,3998,4296
- -,BRS,PMI,Transavia France (TO),Transavia France,858,02:12,,,,,75W,,,"Direct",490,3998,8745
- -,BRS,PMI,Thomsonfly (BY),Thomsonfly,858,02:12,,,,,75W,,,"Direct",490,3998,5013
- -,BRS,PMI,easyJet (U2),easyJet,858,02:12,,,,,320 319,,,"Direct",490,3998,2297
- -,BRS,POZ,Ryanair (FR),Ryanair,833,02:09,,,,,738,,,"Direct",490,674,4296
- -,BRS,PRG,easyJet (U2),easyJet,745,01:59,,,,,319,,,"Direct",490,1587,2297
- -,BRS,PSA,easyJet (U2),easyJet,808,02:06,,,,,320 319,,,"Direct",490,1562,2297
- -,BRS,RAK,easyJet (U2),easyJet,1392,03:17,,,,,320 319,,,"Direct",490,1075,2297
- -,BRS,REU,Ryanair (FR),Ryanair,730,01:57,,,,,738,,,"Direct",490,1236,4296
- -,BRS,REU,Transavia France (TO),Transavia France,730,01:57,,,,,75W,,,"Direct",490,1236,8745
- -,BRS,RZE,Ryanair (FR),Ryanair,1079,02:39,,,,,738,,,"Direct",490,675,4296
- -,BRS,SNN,Aer Lingus (EI),Aer Lingus,278,01:03,,,,,AT4,,,"Codeshare",490,603,837
- -,BRS,SXF,easyJet (U2),easyJet,694,01:53,,,,,319,,,"Direct",490,337,2297
- -,BRS,TFS,Ryanair (FR),Ryanair,1764,04:01,,,,,738,,,"Direct",490,1056,4296
- -,BRS,TFS,Transavia France (TO),Transavia France,1764,04:01,,,,,75W,,,"Direct",490,1056,8745
- -,BRS,TFS,Thomsonfly (BY),Thomsonfly,1764,04:01,,,,,75W,,,"Direct",490,1056,5013
- -,BRS,TFS,easyJet (U2),easyJet,1764,04:01,,,,,320 319,,,"Direct",490,1056,2297
- -,BRS,TLS,Germania (ST),Germania,568,01:38,,,,,ER4,,,"Direct",490,1273,2547
- -,BRS,TLS,easyJet (U2),easyJet,568,01:38,,,,,320 319,,,"Direct",490,1273,2297
- -,BRS,TSF,Ryanair (FR),Ryanair,786,02:04,,,,,738,,,"Direct",490,1539,4296
- -,BRS,VLC,Ryanair (FR),Ryanair,828,02:09,,,,,738,,,"Direct",490,1246,4296
- -,BRS,WMI,Ryanair (FR),Ryanair,993,02:29,,,,,738,,,"Direct",490,8414,4296
- -,BRS,WRO,Ryanair (FR),Ryanair,845,02:11,,,,,738,,,"Direct",490,680,4296
- -,BRS,ZRH,Helvetic Airways (2L),Helvetic Airways,573,01:38,,,,,100,,,"Direct",490,1678,2750
