alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   -5.400     0.000  -0.095043   0.000263   0.005756   0.006019   0.000000   0.000000  -0.080142   0.000000  -0.000000  141.0000    -1.9414
   -5.300     0.000  -0.084938   0.000211   0.005740   0.005951   0.000000  -0.000000  -0.083113   0.000000  -0.000000  141.0000    -2.2529
   -5.200     0.000  -0.074847   0.000165   0.005725   0.005890   0.000000   0.000000  -0.086078   0.000000  -0.000000  141.0000    -2.6562
   -5.100     0.000  -0.064757   0.000125   0.005711   0.005836   0.000000   0.000000  -0.089042   0.000000  -0.000000  141.0000    -3.1708
   -5.000     0.000  -0.054703   0.000090   0.005703   0.005793   0.000000   0.000000  -0.091987   0.000000  -0.000000  141.0000    -4.0870
   -4.900     0.000  -0.044649   0.000061   0.005694   0.005755   0.000000   0.000000  -0.094933   0.000000   0.000000  141.0000    -5.1018
   -4.800     0.000  -0.034597   0.000038   0.005687   0.005725   0.000000   0.000000  -0.097877   0.000000  -0.000000  141.0000    -7.3727
   -4.700     0.000  -0.024545   0.000020   0.005681   0.005701   0.000000   0.000000  -0.100820   0.000000  -0.000000  141.0000   -10.5013
   -4.600     0.000  -0.014483   0.000008   0.005673   0.005681   0.000000  -0.000000  -0.103769   0.000000  -0.000000  141.0000    -9.1902
   -4.500     0.000  -0.004402   0.000001   0.005662   0.005663   0.000000   0.000000  -0.106728   0.000000   0.000000  141.0000     5.6231
   -4.400     0.000   0.005678   0.000000   0.005652   0.005652   0.000000  -0.000000  -0.109687   0.000000  -0.000000  141.0000    40.5829
   -4.300     0.000   0.015786   0.000005   0.005638   0.005643   0.000000   0.000000  -0.112659  -0.000000  -0.000000  141.0000    24.2873
   -4.200     0.000   0.025894   0.000015   0.005625   0.005640   0.000000   0.000000  -0.115632   0.000000  -0.000000  141.0000    12.7028
   -4.100     0.000   0.036010   0.000031   0.005610   0.005642   0.000000   0.000000  -0.118609   0.000000  -0.000000  141.0000     7.5870
   -4.000     0.000   0.046132   0.000053   0.005595   0.005649   0.000000  -0.000000  -0.121589   0.000000   0.000000  141.0000     6.0788
   -3.900     0.000   0.056256   0.000081   0.005580   0.005661   0.000000  -0.000000  -0.124570   0.000000   0.000000  141.0000     4.8986
   -3.800     0.000   0.066389   0.000114   0.005564   0.005678   0.000000  -0.000000  -0.127556   0.000000   0.000000  141.0000     4.2813
   -3.700     0.000   0.076525   0.000153   0.005546   0.005698   0.000000  -0.000000  -0.130545  -0.000000  -0.000000  141.0000     3.7409
   -3.600     0.000   0.086700   0.000198   0.005513   0.005710   0.000000  -0.000000  -0.133561   0.000000  -0.000000  141.0000     3.3808
   -3.500     0.000   0.096860   0.000248   0.005488   0.005737   0.000000  -0.000000  -0.136565   0.000000  -0.000000  141.0000     3.0823
   -3.400     0.000   0.107014   0.000304   0.005468   0.005772   0.000000  -0.000000  -0.139564   0.000000  -0.000000  141.0000     2.8405
   -3.300     0.000   0.117164   0.000366   0.005448   0.005815   0.000000  -0.000000  -0.142561   0.000000  -0.000000  141.0000     2.6482
   -3.200     0.000   0.127308   0.000434   0.005431   0.005865   0.000000   0.000000  -0.145554  -0.000000  -0.000000  141.0000     2.4775
   -3.100     0.000   0.137454   0.000507   0.005410   0.005917   0.000000  -0.000000  -0.148553  -0.000000  -0.000000  141.0000     2.3410
   -3.000     0.000   0.147607   0.000586   0.005383   0.005969   0.000000  -0.000000  -0.151561  -0.000000  -0.000000  141.0000     2.2178
   -2.900     0.000   0.157737   0.000671   0.005360   0.006031   0.000000  -0.000000  -0.154557   0.000000  -0.000000  141.0000     2.1146
   -2.800     0.000   0.167843   0.000761   0.005346   0.006106   0.000000  -0.000000  -0.157538   0.000000  -0.000000  141.0000     2.0218
   -2.700     0.000   0.177940   0.000856   0.005332   0.006189   0.000000   0.000000  -0.160516   0.000000  -0.000000  141.0000     1.9408
   -2.600     0.000   0.188042   0.000958   0.005316   0.006273   0.000000  -0.000000  -0.163500  -0.000000  -0.000000  141.0000     1.8683
   -2.500     0.000   0.198158   0.001065   0.005294   0.006359   0.000000  -0.000000  -0.166494  -0.000000  -0.000000  141.0000     1.8029
   -2.400     0.000   0.208282   0.001178   0.005272   0.006449   0.000000  -0.000000  -0.169492   0.000000  -0.000000  141.0000     1.7446
   -2.300     0.000   0.218400   0.001296   0.005253   0.006549   0.000000  -0.000000  -0.172484   0.000000  -0.000000  141.0000     1.6907
   -2.200     0.000   0.228509   0.001420   0.005237   0.006657   0.000000  -0.000000  -0.175468   0.000000  -0.000000  141.0000     1.6425
   -2.100     0.000   0.238627   0.001550   0.005219   0.006769   0.000000  -0.000000  -0.178459   0.000000   0.000000  141.0000     1.5976
   -2.000     0.000   0.248753   0.001686   0.005195   0.006880   0.000000  -0.000000  -0.181461  -0.000000  -0.000000  141.0000     1.5569
   -1.900     0.000   0.258858   0.001827   0.005174   0.007001   0.000000  -0.000000  -0.184449  -0.000000  -0.000000  141.0000     1.5194
   -1.800     0.000   0.268952   0.001973   0.005155   0.007128   0.000000  -0.000000  -0.187432   0.000000  -0.000000  141.0000     1.4847
   -1.700     0.000   0.279047   0.002125   0.005132   0.007258   0.000000  -0.000000  -0.190423   0.000000  -0.000000  141.0000     1.4528
   -1.600     0.000   0.289119   0.002283   0.005113   0.007396   0.000000  -0.000000  -0.193404  -0.000000   0.000000  141.0000     1.4228
   -1.500     0.000   0.299130   0.002446   0.005106   0.007551   0.000000  -0.000000  -0.196348   0.000000  -0.000000  141.0000     1.3959
   -1.400     0.000   0.309115   0.002613   0.005104   0.007717   0.000000  -0.000000  -0.199273   0.000000  -0.000000  141.0000     1.3706
   -1.300     0.000   0.319087   0.002786   0.005103   0.007889   0.000000  -0.000000  -0.202187   0.000000  -0.000000  141.0000     1.3462
   -1.200     0.000   0.329030   0.002963   0.005110   0.008073   0.000000  -0.000000  -0.205081  -0.000000  -0.000000  141.0000     1.3227
   -1.100     0.000   0.338771   0.003146   0.005130   0.008276   0.000000  -0.000000  -0.207899  -0.000000  -0.000000  141.0000     1.3008
   -1.000     0.000   0.348454   0.003329   0.005161   0.008490   0.000000  -0.000000  -0.210673   0.000000  -0.000000  141.0000     1.2803
   -0.900     0.000   0.358202   0.003519   0.005179   0.008698   0.000000  -0.000000  -0.213476   0.000000  -0.000000  141.0000     1.2611
   -0.800     0.000   0.368104   0.003716   0.005177   0.008893   0.000000  -0.000000  -0.216357   0.000000  -0.000000  141.0000     1.2430
   -0.700     0.000   0.378100   0.003921   0.005165   0.009086   0.000000  -0.000000  -0.219292  -0.000000  -0.000000  141.0000     1.2258
   -0.600     0.000   0.388042   0.004131   0.005162   0.009294   0.000000  -0.000000  -0.222199  -0.000000  -0.000000  141.0000     1.2095
   -0.500     0.000   0.397897   0.004345   0.005168   0.009514   0.000000  -0.000000  -0.225077   0.000000  -0.000000  141.0000     1.1940
   -0.400     0.000   0.407438   0.004560   0.005201   0.009761   0.000000  -0.000000  -0.227827   0.000000  -0.000000  141.0000     1.1797
   -0.300     0.000   0.416886   0.004777   0.005247   0.010023   0.000000  -0.000000  -0.230515   0.000000  -0.000000  141.0000     1.1661
   -0.200     0.000   0.426222   0.004996   0.005306   0.010301   0.000000   0.000000  -0.233137  -0.000000  -0.000000  141.0000     1.1531
   -0.100     0.000   0.435553   0.005222   0.005364   0.010586   0.000000  -0.000000  -0.235755   0.000000  -0.000000  141.0000     1.1403
    0.000     0.000   0.444858   0.005450   0.005428   0.010878   0.000000  -0.000000  -0.238351  -0.000000  -0.000000  141.0000     1.1280
    0.100     0.000   0.454125   0.005681   0.005496   0.011177   0.000000  -0.000000  -0.240926  -0.000000  -0.000000  141.0000     1.1162
    0.200     0.000   0.463319   0.005913   0.005572   0.011485   0.000000  -0.000000  -0.243459  -0.000000  -0.000000  141.0000     1.1049
    0.300     0.000   0.472070   0.006145   0.005680   0.011825   0.000000  -0.000000  -0.245803  -0.000000  -0.000000  141.0000     1.0943
    0.400     0.000   0.480644   0.006376   0.005808   0.012184   0.000000  -0.000000  -0.248036  -0.000000  -0.000000  141.0000     1.0839
    0.500     0.000   0.489187   0.006608   0.005939   0.012547   0.000000  -0.000000  -0.250216  -0.000000  -0.000000  141.0000     1.0739
    0.600     0.000   0.497820   0.006846   0.006061   0.012907   0.000000  -0.000000  -0.252447  -0.000000  -0.000000  141.0000     1.0642
    0.700     0.000   0.506725   0.007091   0.006159   0.013249   0.000000  -0.000000  -0.254798   0.000000  -0.000000  141.0000     1.0549
