   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   -5.400     0.000  -0.093769   0.000277   0.006195   0.006472   0.000000   0.000000  -0.080200   0.000000   0.000000  141.0000    -1.8909
   -5.300     0.000  -0.083987   0.000223   0.006177   0.006400   0.000000   0.000000  -0.082969   0.000000   0.000000  141.0000    -2.1799
   -5.200     0.000  -0.074205   0.000175   0.006159   0.006334   0.000000  -0.000000  -0.085740   0.000000  -0.000000  141.0000    -2.5468
   -5.100     0.000  -0.064458   0.000133   0.006140   0.006273   0.000000   0.000000  -0.088502   0.000000   0.000000  141.0000    -3.0284
   -5.000     0.000  -0.054635   0.000097   0.006121   0.006218   0.000000  -0.000000  -0.091286   0.000000   0.000000  141.0000    -3.6800
   -4.900     0.000  -0.044829   0.000066   0.006102   0.006168   0.000000  -0.000000  -0.094066   0.000000  -0.000000  141.0000    -4.6738
   -4.800     0.000  -0.035058   0.000041   0.006084   0.006125   0.000000   0.000000  -0.096836   0.000000   0.000000  141.0000    -6.2029
   -4.700     0.000  -0.025212   0.000022   0.006064   0.006086   0.000000   0.000000  -0.099630   0.000000   0.000000  141.0000    -9.1189
   -4.600     0.000  -0.015385   0.000009   0.006043   0.006052   0.000000  -0.000000  -0.102420   0.000000  -0.000000  141.0000   -17.0279
   -4.500     0.000  -0.005604   0.000002   0.006023   0.006025   0.000000  -0.000000  -0.105196   0.000000  -0.000000  141.0000   -16.6032
   -4.400     0.000   0.004248   0.000000   0.006003   0.006003   0.000000   0.000000  -0.107993   0.000000  -0.000000  141.0000    50.8535
   -4.300     0.000   0.014076   0.000004   0.005983   0.005987   0.000000  -0.000000  -0.110784   0.000000  -0.000000  141.0000    21.2914
   -4.200     0.000   0.023860   0.000015   0.005963   0.005978   0.000000   0.000000  -0.113562   0.000000  -0.000000  141.0000    11.0091
   -4.100     0.000   0.033714   0.000031   0.005943   0.005973   0.000000  -0.000000  -0.116361   0.000000   0.000000  141.0000     7.7102
   -4.000     0.000   0.043544   0.000053   0.005922   0.005975   0.000000  -0.000000  -0.119154   0.000000   0.000000  141.0000     5.9903
   -3.900     0.000   0.053330   0.000081   0.005902   0.005982   0.000000  -0.000000  -0.121935   0.000000   0.000000  141.0000     4.9579
   -3.800     0.000   0.063187   0.000114   0.005880   0.005994   0.000000   0.000000  -0.124738   0.000000   0.000000  141.0000     4.2648
   -3.700     0.000   0.073034   0.000153   0.005851   0.006004   0.000000  -0.000000  -0.127548   0.000000   0.000000  141.0000     3.7613
   -3.600     0.000   0.082887   0.000199   0.005794   0.005993   0.000000  -0.000000  -0.130394   0.000000   0.000000  141.0000     3.3752
   -3.500     0.000   0.092764   0.000250   0.005759   0.006010   0.000000  -0.000000  -0.133220   0.000000   0.000000  141.0000     3.0795
   -3.400     0.000   0.102563   0.000308   0.005732   0.006040   0.000000  -0.000000  -0.136016   0.000000   0.000000  141.0000     2.8399
   -3.300     0.000   0.112417   0.000371   0.005707   0.006078   0.000000  -0.000000  -0.138824   0.000000   0.000000  141.0000     2.6407
   -3.200     0.000   0.122229   0.000439   0.005688   0.006127   0.000000  -0.000000  -0.141614   0.000000   0.000000  141.0000     2.4751
   -3.100     0.000   0.132014   0.000514   0.005653   0.006168   0.000000  -0.000000  -0.144417   0.000000   0.000000  141.0000     2.3354
   -3.000     0.000   0.141867   0.000594   0.005606   0.006201   0.000000  -0.000000  -0.147256   0.000000   0.000000  141.0000     2.2130
   -2.900     0.000   0.151636   0.000680   0.005576   0.006257   0.000000  -0.000000  -0.150049   0.000000  -0.000000  141.0000     2.1077
   -2.800     0.000   0.161346   0.000772   0.005563   0.006334   0.000000   0.000000  -0.152804   0.000000   0.000000  141.0000     2.0155
   -2.700     0.000   0.170993   0.000869   0.005554   0.006423   0.000000  -0.000000  -0.155534   0.000000   0.000000  141.0000     1.9344
   -2.600     0.000   0.180736   0.000971   0.005534   0.006505   0.000000  -0.000000  -0.158308   0.000000   0.000000  141.0000     1.8611
   -2.500     0.000   0.190464   0.001081   0.005500   0.006581   0.000000  -0.000000  -0.161100   0.000000   0.000000  141.0000     1.7960
   -2.400     0.000   0.200270   0.001195   0.005467   0.006662   0.000000  -0.000000  -0.163914   0.000000   0.000000  141.0000     1.7366
   -2.300     0.000   0.210043   0.001315   0.005444   0.006759   0.000000  -0.000000  -0.166705   0.000000   0.000000  141.0000     1.6832
   -2.200     0.000   0.219823   0.001441   0.005422   0.006863   0.000000  -0.000000  -0.169497   0.000000   0.000000  141.0000     1.6341
   -2.100     0.000   0.229656   0.001574   0.005383   0.006957   0.000000  -0.000000  -0.172329   0.000000   0.000000  141.0000     1.5894
   -2.000     0.000   0.239537   0.001713   0.005331   0.007044   0.000000  -0.000000  -0.175198   0.000000  -0.000000  141.0000     1.5482
   -1.900     0.000   0.249354   0.001859   0.005290   0.007148   0.000000  -0.000000  -0.178032   0.000000   0.000000  141.0000     1.5104
   -1.800     0.000   0.259211   0.002008   0.005261   0.007269   0.000000  -0.000000  -0.180860   0.000000   0.000000  141.0000     1.4752
   -1.700     0.000   0.269032   0.002164   0.005240   0.007405   0.000000  -0.000000  -0.183665   0.000000   0.000000  141.0000     1.4427
   -1.600     0.000   0.278875   0.002326   0.005214   0.007540   0.000000  -0.000000  -0.186485   0.000000   0.000000  141.0000     1.4124
   -1.500     0.000   0.288750   0.002495   0.005180   0.007675   0.000000  -0.000000  -0.189327   0.000000   0.000000  141.0000     1.3842
   -1.400     0.000   0.298608   0.002671   0.005141   0.007812   0.000000  -0.000000  -0.192173   0.000000   0.000000  141.0000     1.3580
   -1.300     0.000   0.308527   0.002850   0.005105   0.007956   0.000000  -0.000000  -0.195032   0.000000   0.000000  141.0000     1.3332
   -1.200     0.000   0.318366   0.003038   0.005075   0.008113   0.000000  -0.000000  -0.197860   0.000000   0.000000  141.0000     1.3101
   -1.100     0.000   0.328261   0.003229   0.005047   0.008277   0.000000  -0.000000  -0.200699   0.000000   0.000000  141.0000     1.2884
   -1.000     0.000   0.338151   0.003427   0.005015   0.008442   0.000000  -0.000000  -0.203546   0.000000   0.000000  141.0000     1.2678
   -0.900     0.000   0.348072   0.003632   0.004972   0.008604   0.000000  -0.000000  -0.206420   0.000000  -0.000000  141.0000     1.2485
   -0.800     0.000   0.357976   0.003842   0.004929   0.008772   0.000000  -0.000000  -0.209289  -0.000000  -0.000000  141.0000     1.2303
   -0.700     0.000   0.367746   0.004059   0.004905   0.008964   0.000000  -0.000000  -0.212092   0.000000   0.000000  141.0000     1.2132
